Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
beta-Pinene,14896,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
beta-Selinene,442393,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC(=C)C1CCC2(CCCC(=C)C2C1)C,C15H24,204.35,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.5,-4.47,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.03,No,No,1.581,1.511,No,Yes,1.736,-0.078
Butyl 2-methylbutyrate,61812,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCCCOC(=O)C(C)CC,C9H18O2,158.24,6,2,0,46.66,26.3,2.82,2.77,2.38,2.28,2.48,-2.17,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.906,No,No,1.905,2.225,No,Yes,0.426,1.122
Caryophyllene,5281515,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
cis-3-Hexen-1-ol,5281167,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCC=CCCO,C6H12O,100.16,3,1,1,31.64,20.23,1.94,1.31,1.33,1.39,1.42,-1.09,High,Yes,No,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.735,1.767,No,Yes,-0.815,1.902
cis-3-Hexenyl acetate,5363388,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCC=CCCOC(=O)C,C8H14O2,142.2,5,2,0,41.38,26.3,2.51,1.89,1.91,1.85,1.98,-1.58,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.796,No,No,1.747,2.385,No,Yes,-0.011,1.293
Clovene,10102,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1(C=CC23C1CCC(C2)(CCC3)C)C,C15H24,204.35,0,0,0,66.62,0.0,3.18,5.76,4.56,5.65,4.65,-4.74,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.213,No,No,1.591,1.381,No,No,1.458,0.182
Copaene,19725,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
Daucene,177773,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC2(CCC(=C2CC1)C(C)C)C,C15H24,204.35,1,0,0,68.78,0.0,3.4,3.82,4.87,4.63,4.25,-3.45,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.279,No,No,1.609,1.42,No,Yes,1.536,0.175
Decane,15600,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCCCCCCCCC,C10H22,142.28,7,0,0,50.18,0.0,3.29,5.01,4.15,4.82,4.16,-3.42,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.463,No,No,1.637,2.613,No,No,1.29,0.154
