Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Methyl citrate,378532,Mango ,Mangifera indica,PMID: 28484444,COC(=O)CC(CC(=O)O)(C(=O)O)O,C7H10O7,206.15,6,7,3,41.79,121.13,0.51,-1.39,-1.16,-1.13,-0.85,0.15,High,No,No,No,No,No,No,0,1,0.56,0,No,0.868,No,No,1.872,3.225,No,No,0.285,4.065
Methyl elaidolinolenate,5367462,Mango ,Mangifera indica,PMID: 24962691,CCC=CCC=CCC=CCCCCCCCC(=O)OC,C19H32O2,292.46,14,2,0,93.31,26.3,4.94,6.29,5.75,4.61,5.55,-4.69,High,Yes,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.078,No,No,1.596,2.932,No,Yes,1.668,-1.473
Methyl gallate,7428,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,COC(=O)C1=CC(=C(C(=C1)O)O)O,C8H8O5,184.15,2,5,3,43.79,86.99,0.97,0.86,0.59,0.18,0.57,-1.73,High,No,No,No,No,No,No,0,0,0.55,1,Yes,-0.296,No,No,1.898,2.432,No,No,0.195,2.871
Methyl palmitate,8181,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCC(=O)OC,C17H34O2,270.45,15,2,0,85.12,26.3,4.41,7.38,5.64,4.44,5.54,-5.18,High,Yes,Yes,No,No,No,No,1,1,0.55,0,No,0.178,No,No,1.635,2.998,No,Yes,1.935,-1.373
Myristic Acid,11005,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCCCC(=O)O,C14H28O2,228.37,12,2,1,71.18,37.3,3.32,6.11,4.77,3.69,4.45,-4.31,High,Yes,Yes,No,No,No,No,0,0,0.85,0,No,-0.559,No,No,1.477,3.034,No,Yes,0.978,-0.601
Oleic Acid,445639,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.46,15,2,1,89.94,37.3,4.27,7.64,6.11,4.57,5.71,-5.41,High,No,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.81,No,No,1.417,3.259,No,Yes,0.676,-1.438
Palmitic Acid,985,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
Pentacosanoic acid,10468,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,C25H50O2,382.66,23,2,1,124.06,37.3,5.68,12.0,9.06,6.21,8.43,-8.25,Low,No,Yes,No,No,No,No,1,2,0.85,0,No,-0.698,No,No,1.388,3.875,Yes,Yes,0.309,-3.251
Pentadecanoic acid,13849,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCCCCC(=O)O,C15H30O2,242.4,13,2,1,75.99,37.3,3.66,6.63,5.16,3.94,4.84,-4.66,High,Yes,Yes,No,Yes,No,No,0,0,0.85,0,No,-0.642,No,No,1.458,3.107,No,Yes,0.922,-0.842
Pentagalloylglucose,65238,Mango ,Mangifera indica,PMID: 24962691,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,C41H32O26,940.68,16,26,15,214.27,444.18,2.12,3.59,1.69,-2.83,0.59,-7.21,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,11.116,No,No,0.285,11.975
Peracetic Acid,6585,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CC(=O)OO,C2H4O3,76.05,1,3,1,14.58,46.53,0.76,-0.37,0.02,-0.56,-0.16,-0.01,High,No,No,No,No,No,No,0,3,0.55,0,No,1.394,No,No,1.856,2.671,No,No,-0.369,2.441
Phytol,5280435,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,C20H40O,296.53,13,1,1,98.94,20.23,4.71,8.19,6.36,5.25,6.22,-5.98,Low,No,No,No,Yes,No,No,1,1,0.55,0,No,0.05,No,Yes,1.607,1.043,No,Yes,1.884,-1.504
