Compound Name,PubChem Id,Common Name,Scientific Name_x,References,Scientific Name_y,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Bruceine D,122784,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C20H26O9,410.42,0,9,5,95.15,153.75,0.0,-2.42,-1.95,-1.2,-1.24,-0.86,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.085,No,No,2.338,3.511,No,No,0.285,6.233
Bruceine E,5315510,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C20H28O9,412.43,0,9,6,96.11,156.91,1.12,-2.76,-2.16,-1.1,-1.23,-0.66,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.441,No,No,2.313,3.558,No,No,0.285,6.335
Bruceine F,76315043,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C21H30O9,426.46,1,9,6,100.91,156.91,0.6,-2.23,-1.77,-0.88,-1.02,-1.01,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.149,No,No,2.543,4.034,No,No,0.285,5.579
Bruceine H,101600138,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C20H26O9,410.42,1,9,5,95.15,153.75,1.23,-2.37,-1.95,-1.2,-0.93,-0.83,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.082,No,No,2.473,3.822,No,No,0.285,5.901
Bruceine I,21126551,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C22H28O9,436.45,3,9,3,104.09,139.59,1.9,-0.2,0.42,-0.04,0.62,-2.22,High,No,No,No,No,No,No,0,0,0.55,0,Yes,-0.715,No,No,3.18,2.476,No,No,0.285,5.139
Bruceine J,23656476,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C25H32O11,508.51,5,11,4,120.29,176.89,0.63,0.39,0.51,-0.21,0.41,-2.91,Low,No,No,No,No,No,No,2,1,0.11,0,No,0.494,No,No,3.063,3.652,No,No,0.285,5.943
Bruceolline H,56833856,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C13H11NO3,229.23,0,3,2,63.07,70.16,1.17,1.66,1.92,0.48,1.65,-2.7,High,Yes,Yes,No,No,No,Yes,0,0,0.55,1,Yes,-0.413,No,No,2.244,1.659,No,No,0.892,1.193
Bruceolline I,56833857,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C13H13NO3,231.25,0,3,3,64.03,73.32,1.29,1.79,1.71,0.56,1.56,-2.79,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,-0.553,No,No,2.261,1.395,No,No,0.526,1.205
Bruceolline J,56833858,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C13H13NO2,215.25,0,2,2,62.0,53.09,1.56,2.15,2.0,1.15,1.96,-2.95,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,-0.876,No,No,2.424,1.869,No,No,0.798,0.757
Bruceolline K,56833859,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C19H23NO7,377.39,3,7,5,94.39,132.24,1.46,0.56,-0.17,-1.05,0.32,-2.58,High,No,No,No,No,No,No,0,0,0.55,0,No,0.375,No,No,2.287,3.69,No,No,0.285,2.762
Bruceolline L,56833860,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C13H15NO2,217.26,3,2,2,64.08,53.09,1.97,2.44,2.37,1.15,2.17,-2.94,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,-0.46,No,No,2.34,2.039,No,No,0.983,0.234
Bruceolline M,56833861,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C19H25NO7,379.4,5,7,5,96.45,132.38,0.92,-0.67,-0.83,-1.05,-0.35,-1.69,High,No,No,No,No,No,No,0,1,0.55,0,No,0.408,No,No,2.446,3.974,Yes,No,0.285,3.039
Bruceoside A,441789,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H42O16,682.67,8,16,6,156.1,245.04,1.71,0.14,-2.37,-2.23,-0.81,-3.63,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.698,No,Yes,3.102,3.851,No,No,0.285,11.947
Bruceoside B,73351376,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H42O16,682.67,8,16,6,156.1,245.04,2.34,-0.91,-2.22,-2.23,-0.79,-2.97,Low,No,No,No,No,No,No,3,4,0.17,0,No,-1.086,No,Yes,3.092,3.557,No,No,0.285,10.177
Bruceoside C,73122,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H42O16,682.67,8,16,6,156.1,245.04,2.23,-1.09,-2.22,-2.23,-0.84,-2.86,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.969,No,Yes,3.229,3.816,No,No,0.285,10.767
Bruceoside D,460525,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C31H40O16,668.64,7,16,7,151.78,256.04,0.97,-0.19,-2.46,-2.42,-1.19,-3.4,Low,No,No,No,No,No,No,3,4,0.11,0,No,0.013,No,No,2.59,3.924,No,No,0.285,12.237
Bruceoside E,460524,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C31H42O16,670.66,8,16,7,152.26,256.04,2.51,-0.37,-2.38,-2.34,-0.85,-3.24,Low,No,No,No,No,No,No,3,4,0.11,0,No,-0.044,No,No,2.602,4.07,No,No,0.285,11.798
Bruceoside F,6451123,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C35H46O18,754.73,10,18,7,172.34,282.34,2.19,-0.27,-2.14,-2.4,-0.8,-3.69,Low,No,No,No,No,No,No,3,4,0.11,0,No,-0.04,No,No,2.568,3.447,No,No,0.285,13.549
Brujavanol A,132491878,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C20H30O7,382.45,0,7,5,95.9,127.45,1.34,-0.25,-0.41,0.46,0.14,-2.05,High,No,No,No,No,No,No,0,1,0.55,0,Yes,0.167,No,No,2.772,3.881,No,No,0.285,4.398
