Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
alpha-Terpinene,7462,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
Alpha-Terpineol,17100,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
alpha-thujene,17868,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC2(C1C2)C(C)C,C10H16,136.23,1,0,0,45.22,0.0,2.67,2.85,3.0,4.29,3.15,-2.41,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.353,No,No,1.589,2.243,No,No,0.597,0.995
Ar-Curcumene,3083834,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CC=C(C=C1)C(C)CCC=C(C)C,C15H22,202.34,4,0,0,69.55,0.0,3.5,5.38,4.84,5.75,4.86,-4.52,Low,No,No,No,No,Yes,No,1,0,0.55,0,No,1.016,No,No,1.873,1.297,No,Yes,1.869,-0.622
beta-Copaene,57339298,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC(C)C1CCC2(C3C1C2C(=C)CC3)C,C15H24,204.35,1,0,0,67.14,0.0,3.35,4.71,4.27,5.65,4.4,-4.01,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,Yes,-0.247,No,No,1.67,1.463,No,No,1.051,-0.103
beta-Cubebene,93081,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1CCC(C2C13C2C(=C)CC3)C(C)C,C15H24,204.35,1,0,0,67.14,0.0,3.39,4.71,4.27,5.65,4.41,-4.01,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.534,No,No,1.753,1.406,No,No,1.197,-0.059
beta-Curcumene,6428461,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC1=CCC(=CC1)C(C)CCC=C(C)C,C15H24,204.35,4,0,0,70.68,0.0,3.7,6.47,5.04,4.53,4.85,-4.92,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.418,No,No,1.642,1.347,No,Yes,1.943,-0.065
beta-Ionone,638014,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=C(C(CCC1)(C)C)C=CC(=O)C,C13H20O,192.3,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.22,-2.73,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.416,No,No,1.678,1.277,No,Yes,1.148,0.883
beta-OCIMENE,5281553,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
beta-Pinene,14896,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
bicycloelemene,56842786,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC(=C)C1C2C(C2(C)C)CCC1(C)C=C,C15H24,204.35,2,0,0,68.52,0.0,3.32,5.53,4.44,4.63,4.44,-4.46,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.177,No,No,1.589,1.391,No,No,1.772,0.107
