Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Dihydroquercetin,439533,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H12O7,304.25,1,7,5,74.76,127.45,1.3,0.95,0.86,-0.64,0.63,-2.66,High,No,No,No,No,No,No,0,0,0.55,1,No,0.345,No,No,2.261,3.102,No,No,0.286,4.688
Docosanoic acid,8215,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCCCCCCCC(=O)O,C22H44O2,340.58,20,2,1,109.64,37.3,5.26,10.37,7.89,5.58,7.4,-7.16,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.796,No,No,1.369,3.639,Yes,Yes,0.381,-2.528
Docosanol,12620,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCCCCCCCCO,C22H46O,326.6,20,1,1,109.03,20.23,5.73,10.36,7.8,5.84,7.61,-7.07,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.277,No,Yes,1.722,0.948,No,Yes,0.656,-2.374
Ergosterol,444679,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,C28H44O,396.65,4,1,1,127.47,20.23,4.92,7.43,7.33,6.33,6.49,-6.72,Low,No,No,No,Yes,No,No,1,2,0.55,0,No,-0.511,No,Yes,2.05,0.909,No,No,0.639,-1.77
Eriodictyol-7-O-glucoside,13254473,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC(=C(C=C4)O)O,C21H22O11,450.39,4,11,7,105.72,186.37,0.91,0.3,-0.64,-1.91,-0.39,-2.83,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.347,No,Yes,2.706,4.301,No,No,0.285,6.111
"Fructose 1,6-bisphosphate",10267,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O,C6H14O12P2,340.12,6,12,7,57.59,223.06,-1.66,-5.58,-2.99,-4.41,-3.67,1.96,Low,No,No,No,No,No,No,2,1,0.11,0,No,1.101,No,No,1.746,4.647,No,No,0.285,7.546
Galactose,6036,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,1,6,5,35.74,110.38,0.24,-3.24,-3.22,-2.75,-2.26,1.15,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.896,No,No,1.214,3.897,No,No,0.285,5.083
Gibberellin A1,5280379,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC12C(CCC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,C19H24O6,348.39,1,6,3,87.34,104.06,1.5,0.23,1.25,1.75,1.29,-2.08,High,No,No,No,No,No,No,0,0,0.56,0,No,0.262,No,No,2.097,2.498,No,No,0.285,2.694
Gibberellin A8,5280607,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC12C3C(C45CC(=C)C(C4)(CCC5C3(CC(C1O)O)OC2=O)O)C(=O)O,C19H24O7,364.39,1,7,4,88.5,124.29,1.16,-0.75,0.22,0.95,0.48,-1.56,High,No,No,No,No,No,No,0,0,0.56,0,No,0.97,No,No,1.964,3.106,No,No,0.285,3.381
Ginkgolide B,65243,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,C20H24O10,424.4,1,10,3,93.29,148.82,1.19,-0.38,-1.37,0.06,-0.12,-2.17,Low,No,No,No,No,No,No,0,1,0.55,0,No,-0.941,No,No,2.636,3.566,No,No,0.285,5.122
Glucose 6-phosphate,5958,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,C6H13O9P,260.14,3,9,6,46.65,166.72,-1.45,-4.89,-3.1,-3.64,-3.28,1.83,Low,No,No,No,No,No,No,1,1,0.11,0,No,1.577,No,No,1.709,4.289,No,No,0.285,6.463
Henicosane,12403,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCCCCCCC,C21H44,296.57,18,0,0,103.06,0.0,5.85,10.99,8.44,7.6,8.26,-7.41,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,-0.057,No,Yes,1.611,1.146,No,Yes,0.748,-2.613
Heptacosyl acetate,13908473,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C,C29H58O2,438.77,27,2,0,142.8,26.3,7.55,13.7,10.32,7.01,9.94,-9.41,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.307,No,Yes,1.876,3.851,No,Yes,0.309,-4.187
Herniarin,10748,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,COC1=CC2=C(C=C1)C=CC(=O)O2,C10H8O3,176.17,1,3,0,48.98,39.44,2.06,1.74,1.8,1.34,1.88,-2.53,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.366,No,No,2.215,2.309,No,No,0.393,1.555
