Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Fumaric Acid,444972,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(=CC(=O)O)C(=O)O,C4H4O4,116.07,2,4,2,24.41,74.6,0.32,-0.34,-0.29,-0.64,-0.35,-0.21,High,No,No,No,No,No,No,0,3,0.85,0,No,0.69,No,No,1.626,3.029,No,No,-0.065,2.956
Gluconic Acid,10690,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(C(C(C(C(=O)O)O)O)O)O)O,C6H12O7,196.16,5,7,6,38.54,138.45,-2.1,-3.37,-3.49,-2.9,-2.82,1.4,Low,No,No,No,No,No,Yes,1,2,0.56,0,No,1.668,No,No,1.305,4.339,No,No,0.285,5.816
Glutamic Acid,33032,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(CC(=O)O)C(C(=O)O)N,C5H9NO4,147.13,4,5,3,32.4,100.62,0.41,-3.69,-0.74,-3.18,-1.68,1.84,High,No,No,No,No,No,No,0,4,0.56,0,No,0.898,No,No,2.443,2.444,No,No,0.285,3.182
Glyceric acid,752,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(C(=O)O)O)O,C3H6O4,106.08,2,4,3,20.63,77.76,-0.54,-1.51,-1.58,-1.7,-1.31,0.59,High,No,No,No,No,No,No,0,4,0.56,0,No,1.522,No,No,0.633,3.011,No,No,0.218,3.254
Glycerin,753,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(CO)O)O,C3H8O3,92.09,2,3,3,20.02,60.69,0.45,-1.76,-1.67,-1.51,-1.09,0.83,High,No,No,No,No,No,No,0,4,0.55,0,No,2.033,No,No,1.041,2.88,No,No,-0.889,3.495
Glycine,750,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(=O)O)N,C2H5NO2,75.07,1,3,2,16.21,63.32,0.37,-3.21,-0.97,-3.58,-1.69,1.78,High,No,No,No,No,No,No,0,4,0.55,0,No,1.12,No,No,1.993,2.838,No,No,0.084,3.24
Glycolic Acid,757,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C(C(=O)O)O,C2H4O3,76.05,1,3,2,14.66,57.53,0.24,-1.11,-0.94,-1.37,-0.8,0.45,High,No,No,No,No,No,No,0,4,0.85,0,No,1.381,No,No,1.225,2.868,No,No,-0.167,2.88
Heptadecanoic acid,10465,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCCCCCCCCCCCCC(=O)O,C17H34O2,270.45,15,2,1,85.6,37.3,4.11,7.69,5.94,4.44,5.57,-5.37,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.757,No,No,1.422,3.255,No,Yes,0.746,-1.324
Hydroquinone,785,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,C1=CC(=CC=C1O)O,C6H6O2,110.11,0,2,2,30.49,40.46,0.92,0.59,1.1,0.79,0.87,-1.45,High,Yes,No,No,No,No,Yes,0,3,0.55,0,No,0.707,No,No,2.008,2.332,No,Yes,0.105,2.194
Lactic Acid,612,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CC(C(=O)O)O,C3H6O3,90.08,1,3,2,19.47,57.53,0.52,-0.72,-0.55,-0.85,-0.48,0.12,High,No,No,No,No,No,No,0,4,0.85,0,No,1.332,No,No,1.273,2.829,No,No,-0.15,2.763
Lauric Acid,3893,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCCCCCCCC(=O)O,C12H24O2,200.32,10,2,1,61.57,37.3,2.7,4.2,3.99,3.15,3.51,-3.07,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.34,No,No,1.511,2.89,No,Yes,0.954,-0.084
Linoleic Acid,5280450,Indian date palm,Phoenix sylvestris L.,DOI: doi.org/10.1080/10942912.2016.1263863,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.14,6.98,5.88,4.47,5.45,-5.05,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,Yes,Yes,0.701,-1.31
