Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"Cadina-1,4-diene",6427091,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1CCC(C2C1=CCC(=C2)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.46,4.58,4.63,4.16,-3.85,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.023,No,No,1.506,1.473,No,Yes,1.731,0.037
Caryophyllene,5281515,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Cedrelanol,160799,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,C15H26O,222.37,1,1,1,70.72,20.23,3.15,3.34,3.78,3.67,3.43,-3.26,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,0.343,No,No,1.918,1.475,No,Yes,1.49,0.743
Citral,638011,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
Copaene,19725,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1=CCC2C3C1C2(CCC3C(C)C)C,C15H24,204.35,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,4.3,-3.86,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.302,No,No,1.644,1.356,No,No,1.122,0.128
delta-Cadinene,441005,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1=CC2C(CCC(=C2CC1)C)C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.32,3.8,4.73,4.63,4.12,-3.43,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.213,No,No,1.552,1.448,No,Yes,1.61,0.093
Delta-elemene,12309449,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C,C15H24,204.35,3,0,0,70.42,0.0,3.43,5.27,4.75,4.53,4.49,-4.23,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.388,No,No,1.516,1.359,No,Yes,1.928,-0.08
delta-Guaiene,94275,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1CCC2=C(CCC(CC12)C(=C)C)C,C15H24,204.35,1,0,0,69.04,0.0,3.42,4.61,4.73,4.63,4.31,-3.95,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.018,No,No,1.542,1.335,No,Yes,1.617,0.443
Elemol,92138,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,C15H26O,222.37,3,1,1,72.1,20.23,3.2,4.41,3.94,3.56,3.77,-3.8,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.283,No,No,1.686,1.229,No,Yes,1.921,0.543
epi-Cubenol,519857,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1CCC(C2C1(CCC(=C2)C)O)C(C)C,C15H26O,222.37,1,1,1,70.72,20.23,3.24,3.7,3.78,3.67,3.52,-3.48,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.327,No,No,2.003,1.309,No,Yes,1.425,0.653
