Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Humulene epoxide II,10704181,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1=CCC(C=CCC2(C(O2)CC1)C)(C)C,C15H24O,220.35,0,1,0,69.91,12.53,3.11,3.85,4.25,3.56,3.71,-3.63,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.392,No,No,1.585,1.161,No,Yes,1.078,1.122
Isoaromadendrene,91752786,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1CCC2C1C3C(C3(C)C)CC=C2,C14H22,190.32,0,0,0,62.34,0.0,3.14,4.56,3.88,5.39,4.01,-3.89,Low,Yes,Yes,Yes,Yes,No,No,1,0,0.55,0,No,-0.081,No,No,1.493,1.344,No,No,1.266,0.731
Isopinocamphone,84532,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CC1C2CC(C2(C)C)CC1=O,C10H16O,152.23,0,1,0,45.9,17.07,2.18,2.27,2.26,2.3,2.29,-2.21,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.374,No,No,1.692,1.932,No,Yes,0.313,1.435
Isorhamnetin,5281654,Nut Grass,Cyperus rotundus L.,PMID: 19701133,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C16H12O7,316.26,2,7,4,82.5,120.36,2.35,1.87,2.29,-0.31,1.65,-3.36,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.576,No,No,2.407,2.499,No,No,0.296,2.206
Isovitexin,162350,Nut Grass,Cyperus rotundus L.,PMID: 19023813,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,3,10,7,106.61,181.05,1.94,0.21,-0.23,-2.02,0.05,-2.84,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.649,No,No,2.558,5.37,No,No,0.285,5.18
Khellin,3828,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC,C14H12O5,260.24,2,5,0,70.21,61.81,2.63,2.26,2.86,0.34,2.29,-3.25,High,Yes,Yes,No,Yes,No,Yes,0,0,0.55,0,Yes,-0.4,No,No,2.186,1.235,No,No,0.581,1.56
Limonene,22311,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Methyl linoleate,5284421,Nut Grass,Cyperus rotundus L.,DOI: 10.13040/IJPSR.0975-8232.3(2).424-27,CCCCCC=CCC=CCCCCCCCC(=O)OC,C19H34O2,294.47,15,2,0,93.78,26.3,4.61,6.82,5.97,4.7,5.69,-4.97,High,No,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.019,No,No,1.617,3.004,No,Yes,1.603,-1.6
Myricetin 3-galactoside,5491408,Nut Grass,Cyperus rotundus L.,PMID: 19023813,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,C21H20O13,480.38,4,13,9,112.18,230.74,0.18,0.01,-0.83,-3.07,-0.96,-2.91,Low,No,No,No,No,No,No,2,2,0.17,1,No,0.499,No,Yes,2.543,3.967,No,No,0.285,9.571
Myrtenol,10582,Nut Grass,Cyperus rotundus L.,PMID: 19701133,CC1(C2CC=C(C1C2)CO)C,C10H16O,152.23,1,1,1,46.38,20.23,2.34,3.22,1.97,2.3,2.4,-2.75,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.439,No,No,1.746,1.8,No,Yes,0.262,1.698
N-(1-deoxy-alpha-d-fructos-1-yl)-l-tryptophan,129847769,Nut Grass,Cyperus rotundus L.,PMID: 19023813,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NCC3(C(C(C(O3)CO)O)O)O,C17H22N2O7,366.37,7,8,7,89.95,155.27,1.31,-2.6,-1.45,-3.7,-1.3,-0.27,Low,No,No,No,No,No,No,1,1,0.55,0,No,0.669,No,No,2.429,4.158,Yes,No,0.285,4.131
N-butyl-beta-D-fructopyranoside,50914217,Nut Grass,Cyperus rotundus L.,PMID: 19023813,CCCCOC1(C(C(C(CO1)O)O)O)CO,C10H20O6,236.26,5,6,4,54.93,99.38,2.15,-1.05,-1.4,-1.45,-0.43,-0.31,High,No,No,No,No,No,No,0,1,0.55,0,No,1.533,No,No,1.268,3.06,No,No,0.285,4.1
